nanoxml,1_1,1,start
nanoxml,1_1,1,coarse-grained.profile.time,252628
nanoxml,1_1,1,coarse-grained.profile.size,383
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v1/subv1/coarse-grained/output.sites
nanoxml,1_1,1,coarse-grained.profile.number,494
nanoxml,1_1,1,fine-grained.profile.time,1128861
nanoxml,1_1,1,fine-grained.profile.size,1424
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v1/subv1/fine-grained/output.sites
nanoxml,1_1,1,fine-grained.profile.number,4234
nanoxml,1_1,1,fine-grained.preprocess.size,162820
nanoxml,1_1,1,fine-grained.preprocess.time,665
nanoxml,1_1,1,fine-grained.preprocess.number,74 
nanoxml,1_1,1,fine-grained.preprocess.time_p,505.0
nanoxml,1_1,1,fine-grained.mine.size,5812
nanoxml,1_1,1,fine-grained.mine.time,1677
nanoxml,1_1,1,boost,0.05
nanoxml,1_1,1,boost.functions.count,10
nanoxml,1_1,1,boost.includes,-sampler-include-method=-net.n3.nanoxml.NonValidator--void-processAttList-net.n3.nanoxml.IXMLReader,net.n3.nanoxml.XMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-processElement-net.n3.nanoxml.IXMLReader,net.n3.nanoxml.XMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-processEntity-net.n3.nanoxml.IXMLReader,net.n3.nanoxml.XMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--boolean-atEOFOfCurrentStream--- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--java.io.Reader-openStream-java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLEntityResolver--void-addExternalEntity-java.lang.String,java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLEntityResolver--void-addInternalEntity-java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--java.lang.String-scanSystemID-net.n3.nanoxml.IXMLReader,char,net.n3.nanoxml.XMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--void-errorInvalidInput-net.n3.nanoxml.IXMLReader,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--void-skipTag-net.n3.nanoxml.IXMLReader,char,net.n3.nanoxml.XMLEntityResolver--
nanoxml,1_1,1,boost.preprocess.size,62096
nanoxml,1_1,1,boost.preprocess.time,312
nanoxml,1_1,1,boost.preprocess.number,15 
