space,5_-,10,start
space,5_-,10,fine-grained.preprocess.size,1823676
space,5_-,10,fine-grained.preprocess.time,36977
space,5_-,10,fine-grained.preprocess.number,1437 
space,5_-,10,fine-grained.preprocess.time_p,36788.0
space,5_-,10,fine-grained.mine.size,5796
space,5_-,10,fine-grained.mine.time,2471
space,5_-,10,boost,0.05
space,5_-,10,boost.functions.count,8
space,5_-,10,boost.includes,-sampler-include-method=GetReal -sampler-include-method=GetUReal -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=greldef -sampler-include-method=griddef1 -sampler-include-method=parserro -sampler-include-method=squgrdef
space,5_-,10,boost.preprocess.size,312716
space,5_-,10,boost.preprocess.time,1345
space,5_-,10,boost.preprocess.number,211 
space,5_-,10,boost.preprocess.time_p,1230.0
space,5_-,10,boost.mine.size,5940
space,5_-,10,boost.mine.time,1182
space,5_-,10,theta,0.600281
space,5_-,10,prune.functions.count,24
space,5_-,10,prune.includes,-sampler-include-method=GetKeyword -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=GetUReal -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=emsginit -sampler-include-method=floatsup -sampler-include-method=greldef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=main -sampler-include-method=moseinit -sampler-include-method=nomefile -sampler-include-method=parserro -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recgrdef -sampler-include-method=squgrdef -sampler-include-method=unaminit
space,5_-,10,prune.preprocess.size,1493804
space,5_-,10,prune.preprocess.time,8068
space,5_-,10,prune.preprocess.number,1294 
space,5_-,10,prune.preprocess.time_p,7877.0
space,5_-,10,prune.mine.size,5880
space,5_-,10,prune.mine.time,2552
space,5_-,10,boost.profile.time,10279
space,5_-,10,boost.profile.size,9520
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v5/v5_b.sites
space,5_-,10,boost.profile.number,7330
space,5_-,10,prune.profile.time,25636
space,5_-,10,prune.profile.size,89075
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v5/v5_p.sites
space,5_-,10,prune.profile.number,68448
space,5_-,10,prune-minus-boost.profile.time,19499
space,5_-,10,prune-minus-boost.profile.size,55615
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v5/v5_pmb.sites
space,5_-,10,prune-minus-boost.profile.number,41432
space,5_-,10,end
