space,36_-,10,start
space,36_-,10,fine-grained.preprocess.size,1825680
space,36_-,10,fine-grained.preprocess.time,39531
space,36_-,10,fine-grained.preprocess.number,470 
space,36_-,10,fine-grained.preprocess.time_p,39196.0
space,36_-,10,fine-grained.mine.size,5820
space,36_-,10,fine-grained.mine.time,3226
space,36_-,10,boost,0.05
space,36_-,10,boost.functions.count,10
space,36_-,10,boost.includes,-sampler-include-method=GetKeyword -sampler-include-method=GetUName -sampler-include-method=TapeGet -sampler-include-method=floatsup -sampler-include-method=groupdef -sampler-include-method=isletter -sampler-include-method=nomefile -sampler-include-method=parserro -sampler-include-method=prnfile -sampler-include-method=unaminit
space,36_-,10,boost.preprocess.size,269968
space,36_-,10,boost.preprocess.time,1181
space,36_-,10,boost.preprocess.number,92 
space,36_-,10,boost.preprocess.time_p,1041.0
space,36_-,10,boost.mine.size,5912
space,36_-,10,boost.mine.time,1746
space,36_-,10,theta,0.127304
space,36_-,10,prune.functions.count,15
space,36_-,10,prune.includes,-sampler-include-method=GetKeyword -sampler-include-method=GetUName -sampler-include-method=TapeGet -sampler-include-method=emsginit -sampler-include-method=floatsup -sampler-include-method=groupdef -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=main -sampler-include-method=moseinit -sampler-include-method=nomefile -sampler-include-method=parserro -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=unaminit
space,36_-,10,prune.preprocess.size,1152440
space,36_-,10,prune.preprocess.time,4311
space,36_-,10,prune.preprocess.number,470 
space,36_-,10,prune.preprocess.time_p,4106.0
space,36_-,10,prune.mine.size,5820
space,36_-,10,prune.mine.time,2213
space,36_-,10,boost.profile.time,12943
space,36_-,10,boost.profile.size,8131
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v36/v36_b.sites
space,36_-,10,boost.profile.number,5750
space,36_-,10,prune.profile.time,21975
space,36_-,10,prune.profile.size,55743
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v36/v36_p.sites
space,36_-,10,prune.profile.number,41542
space,36_-,10,prune-minus-boost.profile.time,16589
space,36_-,10,prune-minus-boost.profile.size,25719
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v36/v36_pmb.sites
space,36_-,10,prune-minus-boost.profile.number,19034
space,36_-,10,end
