space,35_-,1,start
space,35_-,1,coarse-grained.profile.time,12460
space,35_-,1,coarse-grained.profile.size,584
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v35/v35_c.sites
space,35_-,1,coarse-grained.profile.number,136
space,35_-,1,fine-grained.profile.time,82368
space,35_-,1,fine-grained.profile.size,567310
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v35/v35_f.sites
space,35_-,1,fine-grained.profile.number,459118
space,35_-,1,fine-grained.preprocess.size,1935928
space,35_-,1,fine-grained.preprocess.time,81088
space,35_-,1,fine-grained.preprocess.number,3947 
space,35_-,1,fine-grained.preprocess.time_p,80886.0
space,35_-,1,fine-grained.mine.size,5852
space,35_-,1,fine-grained.mine.time,48657
space,35_-,1,boost,0.05
space,35_-,1,boost.functions.count,5
space,35_-,1,boost.includes,-sampler-include-method=fixnodor -sampler-include-method=mksnode -sampler-include-method=nodorien -sampler-include-method=secoramp -sampler-include-method=sgramp2n
space,35_-,1,boost.preprocess.size,315300
space,35_-,1,boost.preprocess.time,1456
space,35_-,1,boost.preprocess.number,237 
space,35_-,1,boost.preprocess.time_p,1311.0
space,35_-,1,boost.mine.size,5996
space,35_-,1,boost.mine.time,1736
space,35_-,1,theta,0.205450
space,35_-,1,prune.functions.count,62
space,35_-,1,prune.includes,-sampler-include-method=Get1Real -sampler-include-method=GetInt -sampler-include-method=GetKeyword -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=adddef -sampler-include-method=addscan -sampler-include-method=adremdef -sampler-include-method=ampunit -sampler-include-method=ampval -sampler-include-method=angunit -sampler-include-method=angval -sampler-include-method=circspec -sampler-include-method=elemdef -sampler-include-method=emsginit -sampler-include-method=fixgramp -sampler-include-method=fixnodor -sampler-include-method=fixport -sampler-include-method=fixselem -sampler-include-method=fixsgrel -sampler-include-method=fixsgrid -sampler-include-method=floatsup -sampler-include-method=geomspec -sampler-include-method=grampexc -sampler-include-method=greldef -sampler-include-method=grexcdef -sampler-include-method=grgeodef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=grphaexc -sampler-include-method=hexgrdef -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=lenunit -sampler-include-method=main -sampler-include-method=mksnode -sampler-include-method=moseinit -sampler-include-method=nodecoor -sampler-include-method=nodedef -sampler-include-method=nodorien -sampler-include-method=nomefile -sampler-include-method=polspec -sampler-include-method=portspec -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recgrdef -sampler-include-method=recspec -sampler-include-method=remdef -sampler-include-method=secoramp -sampler-include-method=secorpha -sampler-include-method=sgramp2n -sampler-include-method=simamp -sampler-include-method=simgroup -sampler-include-method=sinelem -sampler-include-method=squgrdef -sampler-include-method=unaminit -sampler-include-method=unifamp -sampler-include-method=unifpha
space,35_-,1,prune.preprocess.size,1709152
space,35_-,1,prune.preprocess.time,40716
space,35_-,1,prune.preprocess.number,3434 
space,35_-,1,prune.preprocess.time_p,40482.0
space,35_-,1,prune.mine.size,5820
space,35_-,1,prune.mine.time,42721
space,35_-,1,boost.profile.time,13772
space,35_-,1,boost.profile.size,11558
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v35/v35_b.sites
space,35_-,1,boost.profile.number,9082
space,35_-,1,prune.profile.time,52780
space,35_-,1,prune.profile.size,288616
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v35/v35_p.sites
space,35_-,1,prune.profile.number,231296
space,35_-,1,prune-minus-boost.profile.time,47449
space,35_-,1,prune-minus-boost.profile.size,250407
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v35/v35_pmb.sites
space,35_-,1,prune-minus-boost.profile.number,200020
space,35_-,1,end
