space,27_-,10,start
space,27_-,10,fine-grained.preprocess.size,1965240
space,27_-,10,fine-grained.preprocess.time,180854
space,27_-,10,fine-grained.preprocess.number,8271 
space,27_-,10,fine-grained.preprocess.time_p,180555.0
space,27_-,10,fine-grained.mine.size,5824
space,27_-,10,fine-grained.mine.time,114083
space,27_-,10,boost,0.05
space,27_-,10,boost.functions.count,8
space,27_-,10,boost.includes,-sampler-include-method=GetNatur -sampler-include-method=polorbis -sampler-include-method=portamp -sampler-include-method=portdef -sampler-include-method=ppadef1 -sampler-include-method=pscdef1 -sampler-include-method=pshdef1 -sampler-include-method=sgrphasr
space,27_-,10,boost.preprocess.size,418236
space,27_-,10,boost.preprocess.time,1430
space,27_-,10,boost.preprocess.number,218 
space,27_-,10,boost.preprocess.time_p,1277.0
space,27_-,10,boost.mine.size,5784
space,27_-,10,boost.mine.time,1548
space,27_-,10,theta,0.044342
space,27_-,10,prune.functions.count,79
space,27_-,10,prune.includes,-sampler-include-method=Get1Real -sampler-include-method=GetInt -sampler-include-method=GetKeyword -sampler-include-method=GetNatur -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=adddef -sampler-include-method=addscan -sampler-include-method=adremdef -sampler-include-method=ampunit -sampler-include-method=ampval -sampler-include-method=anglerot -sampler-include-method=angunit -sampler-include-method=angval -sampler-include-method=blockdef -sampler-include-method=circspec -sampler-include-method=doubstep -sampler-include-method=elemdef -sampler-include-method=emsginit -sampler-include-method=fixgramp -sampler-include-method=fixgrpha -sampler-include-method=fixport -sampler-include-method=fixselem -sampler-include-method=fixsgrel -sampler-include-method=fixsgrid -sampler-include-method=floatsup -sampler-include-method=geomspec -sampler-include-method=grampexc -sampler-include-method=greldef -sampler-include-method=grexcdef -sampler-include-method=grgeodef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=grphaexc -sampler-include-method=grwrite -sampler-include-method=hexdef -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=lenunit -sampler-include-method=main -sampler-include-method=mkshex -sampler-include-method=moseinit -sampler-include-method=nodecoor -sampler-include-method=nodedef -sampler-include-method=nomefile -sampler-include-method=polorbis -sampler-include-method=polspec -sampler-include-method=polydef -sampler-include-method=portamp -sampler-include-method=portdef -sampler-include-method=portspec -sampler-include-method=ppadef1 -sampler-include-method=prnfile -sampler-include-method=pscdef1 -sampler-include-method=pshdef1 -sampler-include-method=readfil3 -sampler-include-method=recgrdef -sampler-include-method=recspec -sampler-include-method=remdef -sampler-include-method=secorpha -sampler-include-method=seqrothg -sampler-include-method=serotdir -sampler-include-method=serotpar -sampler-include-method=serotpha -sampler-include-method=sgrampun -sampler-include-method=sgrphasr -sampler-include-method=simamp -sampler-include-method=simgroup -sampler-include-method=simpha -sampler-include-method=simpol -sampler-include-method=sinelem -sampler-include-method=squgrdef -sampler-include-method=unaminit -sampler-include-method=unifamp -sampler-include-method=unifpha
space,27_-,10,prune.preprocess.size,1829856
space,27_-,10,prune.preprocess.time,73029
space,27_-,10,prune.preprocess.number,4348 
space,27_-,10,prune.preprocess.time_p,72769.0
space,27_-,10,prune.mine.size,5852
space,27_-,10,prune.mine.time,73626
space,27_-,10,boost.profile.time,9590
space,27_-,10,boost.profile.size,9116
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v27/v27_b.sites
space,27_-,10,boost.profile.number,7100
space,27_-,10,prune.profile.time,54072
space,27_-,10,prune.profile.size,328049
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v27/v27_p.sites
space,27_-,10,prune.profile.number,263512
space,27_-,10,prune-minus-boost.profile.time,48633
space,27_-,10,prune-minus-boost.profile.size,298589
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v27/v27_pmb.sites
space,27_-,10,prune-minus-boost.profile.number,239444
space,27_-,10,end
