space,19_-,10,start
space,19_-,10,fine-grained.preprocess.size,1965772
space,19_-,10,fine-grained.preprocess.time,151230
space,19_-,10,fine-grained.preprocess.number,8604 
space,19_-,10,fine-grained.preprocess.time_p,150961.0
space,19_-,10,fine-grained.mine.size,5892
space,19_-,10,fine-grained.mine.time,79399
space,19_-,10,boost,0.05
space,19_-,10,boost.functions.count,9
space,19_-,10,boost.includes,-sampler-include-method=addscan -sampler-include-method=circpol -sampler-include-method=fixgramp -sampler-include-method=fixgrpha -sampler-include-method=grwrite -sampler-include-method=linpol -sampler-include-method=simamp -sampler-include-method=simpha -sampler-include-method=simpol
space,19_-,10,boost.preprocess.size,569360
space,19_-,10,boost.preprocess.time,2015
space,19_-,10,boost.preprocess.number,279 
space,19_-,10,boost.preprocess.time_p,1856.0
space,19_-,10,boost.mine.size,5840
space,19_-,10,boost.mine.time,2407
space,19_-,10,theta,0.375577
space,19_-,10,prune.functions.count,57
space,19_-,10,prune.includes,-sampler-include-method=Get1Real -sampler-include-method=GetInt -sampler-include-method=GetKeyword -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=adddef -sampler-include-method=addscan -sampler-include-method=adremdef -sampler-include-method=ampunit -sampler-include-method=ampval -sampler-include-method=circpol -sampler-include-method=elemdef -sampler-include-method=emsginit -sampler-include-method=fixgramp -sampler-include-method=fixgrpha -sampler-include-method=fixport -sampler-include-method=fixselem -sampler-include-method=fixsgrel -sampler-include-method=fixsgrid -sampler-include-method=floatsup -sampler-include-method=geomspec -sampler-include-method=grampexc -sampler-include-method=greldef -sampler-include-method=grexcdef -sampler-include-method=grgeodef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=grphaexc -sampler-include-method=grwrite -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=lenunit -sampler-include-method=linpol -sampler-include-method=main -sampler-include-method=moseinit -sampler-include-method=nodecoor -sampler-include-method=nodedef -sampler-include-method=nomefile -sampler-include-method=polspec -sampler-include-method=portspec -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recspec -sampler-include-method=remdef -sampler-include-method=simamp -sampler-include-method=simgroup -sampler-include-method=simpha -sampler-include-method=simpol -sampler-include-method=sinelem -sampler-include-method=squgrdef -sampler-include-method=unaminit -sampler-include-method=unifamp -sampler-include-method=unifpha
space,19_-,10,prune.preprocess.size,1670164
space,19_-,10,prune.preprocess.time,38361
space,19_-,10,prune.preprocess.number,3457 
space,19_-,10,prune.preprocess.time_p,38089.0
space,19_-,10,prune.mine.size,5792
space,19_-,10,prune.mine.time,48658
space,19_-,10,boost.profile.time,10496
space,19_-,10,boost.profile.size,9375
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v19/v19_b.sites
space,19_-,10,boost.profile.number,7304
space,19_-,10,prune.profile.time,41931
space,19_-,10,prune.profile.size,231763
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v19/v19_p.sites
space,19_-,10,prune.profile.number,184732
space,19_-,10,prune-minus-boost.profile.time,36839
space,19_-,10,prune-minus-boost.profile.size,192966
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v19/v19_pmb.sites
space,19_-,10,prune-minus-boost.profile.number,153008
space,19_-,10,end
