space,33_-,10,start
space,33_-,10,fine-grained.preprocess.size,1931992
space,33_-,10,fine-grained.preprocess.time,89995
space,33_-,10,fine-grained.preprocess.number,5171 
space,33_-,10,fine-grained.preprocess.time_p,89790.0
space,33_-,10,fine-grained.mine.size,5808
space,33_-,10,fine-grained.mine.time,94966
space,33_-,10,boost,0.05
space,33_-,10,boost.functions.count,3
space,33_-,10,boost.includes,-sampler-include-method=gnodevis -sampler-include-method=gnodfind -sampler-include-method=seqrotrg
space,33_-,10,boost.preprocess.size,319092
space,33_-,10,boost.preprocess.time,1377
space,33_-,10,boost.preprocess.number,481 
space,33_-,10,boost.preprocess.time_p,1257.0
space,33_-,10,boost.mine.size,5788
space,33_-,10,boost.mine.time,1751
space,33_-,10,theta,0.032506
space,33_-,10,prune.functions.count,73
space,33_-,10,prune.includes,-sampler-include-method=Get1Real -sampler-include-method=GetInt -sampler-include-method=GetKeyword -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=adddef -sampler-include-method=addscan -sampler-include-method=adremdef -sampler-include-method=ampunit -sampler-include-method=ampval -sampler-include-method=anglerot -sampler-include-method=angunit -sampler-include-method=doubstep -sampler-include-method=elemdef -sampler-include-method=emsginit -sampler-include-method=extremes -sampler-include-method=fixgramp -sampler-include-method=fixgrpha -sampler-include-method=fixnodor -sampler-include-method=fixport -sampler-include-method=fixselem -sampler-include-method=fixsgrel -sampler-include-method=fixsgrid -sampler-include-method=floatsup -sampler-include-method=geomspec -sampler-include-method=gnodevis -sampler-include-method=gnodfind -sampler-include-method=grampexc -sampler-include-method=greldef -sampler-include-method=grexcdef -sampler-include-method=grgeodef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=grphaexc -sampler-include-method=grwrite -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=lenunit -sampler-include-method=main -sampler-include-method=mksnode -sampler-include-method=moseinit -sampler-include-method=nodecoor -sampler-include-method=nodedef -sampler-include-method=nodorien -sampler-include-method=nomefile -sampler-include-method=polspec -sampler-include-method=portspec -sampler-include-method=pqlimits -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recgrdef -sampler-include-method=recspec -sampler-include-method=remdef -sampler-include-method=secorpha -sampler-include-method=seqrotrg -sampler-include-method=serotdir -sampler-include-method=serotpar -sampler-include-method=serotpha -sampler-include-method=sgrampun -sampler-include-method=sgrphasr -sampler-include-method=simamp -sampler-include-method=simgroup -sampler-include-method=simpha -sampler-include-method=simpol -sampler-include-method=sinelem -sampler-include-method=squgrdef -sampler-include-method=unaminit -sampler-include-method=unifamp -sampler-include-method=unifpha
space,33_-,10,prune.preprocess.size,1791200
space,33_-,10,prune.preprocess.time,68717
space,33_-,10,prune.preprocess.number,4849 
space,33_-,10,prune.preprocess.time_p,68495.0
space,33_-,10,prune.mine.size,5848
space,33_-,10,prune.mine.time,90844
space,33_-,10,boost.profile.time,10107
space,33_-,10,boost.profile.size,10092
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v33/v33_b.sites
space,33_-,10,boost.profile.number,7916
space,33_-,10,prune.profile.time,54086
space,33_-,10,prune.profile.size,359686
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v33/v33_p.sites
space,33_-,10,prune.profile.number,289370
space,33_-,10,prune-minus-boost.profile.time,49986
space,33_-,10,prune-minus-boost.profile.size,311585
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v33/v33_pmb.sites
space,33_-,10,prune-minus-boost.profile.number,249978
space,33_-,10,end
