space,23_-,10,start
space,23_-,10,fine-grained.preprocess.size,1947100
space,23_-,10,fine-grained.preprocess.time,124887
space,23_-,10,fine-grained.preprocess.number,6766 
space,23_-,10,fine-grained.preprocess.time_p,124644.0
space,23_-,10,fine-grained.mine.size,5792
space,23_-,10,fine-grained.mine.time,97578
space,23_-,10,boost,0.05
space,23_-,10,boost.functions.count,7
space,23_-,10,boost.includes,-sampler-include-method=extremes -sampler-include-method=grwrite -sampler-include-method=intmax -sampler-include-method=intmin -sampler-include-method=mksblock -sampler-include-method=pqlimits -sampler-include-method=simpol
space,23_-,10,boost.preprocess.size,541272
space,23_-,10,boost.preprocess.time,1485
space,23_-,10,boost.preprocess.number,346 
space,23_-,10,boost.preprocess.time_p,1342.0
space,23_-,10,boost.mine.size,5788
space,23_-,10,boost.mine.time,2538
space,23_-,10,theta,0.434276
space,23_-,10,prune.functions.count,61
space,23_-,10,prune.includes,-sampler-include-method=Get1Real -sampler-include-method=GetInt -sampler-include-method=GetKeyword -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=adddef -sampler-include-method=addscan -sampler-include-method=adremdef -sampler-include-method=ampunit -sampler-include-method=ampval -sampler-include-method=blockdef -sampler-include-method=elemdef -sampler-include-method=emsginit -sampler-include-method=extremes -sampler-include-method=fixgramp -sampler-include-method=fixgrpha -sampler-include-method=fixport -sampler-include-method=fixselem -sampler-include-method=fixsgrel -sampler-include-method=fixsgrid -sampler-include-method=floatsup -sampler-include-method=geomspec -sampler-include-method=grampexc -sampler-include-method=greldef -sampler-include-method=grexcdef -sampler-include-method=grgeodef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=grphaexc -sampler-include-method=grwrite -sampler-include-method=intmax -sampler-include-method=intmin -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=lenunit -sampler-include-method=main -sampler-include-method=mksblock -sampler-include-method=moseinit -sampler-include-method=nodecoor -sampler-include-method=nodedef -sampler-include-method=nomefile -sampler-include-method=polspec -sampler-include-method=portspec -sampler-include-method=pqlimits -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recspec -sampler-include-method=remdef -sampler-include-method=simamp -sampler-include-method=simgroup -sampler-include-method=simpha -sampler-include-method=simpol -sampler-include-method=sinelem -sampler-include-method=squgrdef -sampler-include-method=unaminit -sampler-include-method=unifamp -sampler-include-method=unifpha
space,23_-,10,prune.preprocess.size,1695472
space,23_-,10,prune.preprocess.time,41478
space,23_-,10,prune.preprocess.number,3829 
space,23_-,10,prune.preprocess.time_p,41263.0
space,23_-,10,prune.mine.size,5828
space,23_-,10,prune.mine.time,84879
space,23_-,10,boost.profile.time,9728
space,23_-,10,boost.profile.size,6162
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v23/v23_b.sites
space,23_-,10,boost.profile.number,4668
space,23_-,10,prune.profile.time,47241
space,23_-,10,prune.profile.size,257514
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v23/v23_p.sites
space,23_-,10,prune.profile.number,205674
space,23_-,10,prune-minus-boost.profile.time,42272
space,23_-,10,prune-minus-boost.profile.size,224525
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v23/v23_pmb.sites
space,23_-,10,prune-minus-boost.profile.number,178854
space,23_-,10,end
