nanoxml,1_1,1,start
nanoxml,1_1,1,fine-grained.profile.time,73483
nanoxml,1_1,1,fine-grained.profile.size,1892
nanoxml,1_1,1,fine-grained.preprocess.size,129672
nanoxml,1_1,1,fine-grained.preprocess.time,583
nanoxml,1_1,1,fine-grained.preprocess.number,74
nanoxml,1_1,1,fine-grained.preprocess.time_p,484.0
nanoxml,1_1,1,fine-grained.mine.size,5872
nanoxml,1_1,1,fine-grained.mine.time,1257
nanoxml,1_1,1,boost,0.05
nanoxml,1_1,1,boost.preprocess.size,61932
nanoxml,1_1,1,boost.preprocess.time,310
nanoxml,1_1,1,boost.preprocess.number,15
nanoxml,1_1,1,boost.preprocess.time_p,221.0
nanoxml,1_1,1,boost.mine.size,5884
nanoxml,1_1,1,boost.mine.time,1107
nanoxml,1_1,1,theta,0.713335
nanoxml,1_1,1,prune.preprocess.size,77972
nanoxml,1_1,1,prune.preprocess.time,437
nanoxml,1_1,1,prune.preprocess.number,49
nanoxml,1_1,1,prune.preprocess.time_p,326.0
nanoxml,1_1,1,prune.mine.size,5804
nanoxml,1_1,1,prune.mine.time,1101
nanoxml,1_1,1,coarse-grained.profile.time,62893
nanoxml,1_1,1,coarse-grained.profile.size,952
nanoxml,1_1,1,boost.profile.time,58923
nanoxml,1_1,1,boost.profile.size,952
nanoxml,1_1,1,prune-minus-boost.profile.time,61452
nanoxml,1_1,1,prune-minus-boost.profile.size,952
nanoxml,1_1,1,end
