nanoxml,4_7,10,start
nanoxml,4_7,10,fine-grained.preprocess.size,195668
nanoxml,4_7,10,fine-grained.preprocess.time,757
nanoxml,4_7,10,fine-grained.preprocess.number,171 
nanoxml,4_7,10,fine-grained.preprocess.time_p,656.0
nanoxml,4_7,10,fine-grained.mine.size,5856
nanoxml,4_7,10,fine-grained.mine.time,1657
nanoxml,4_7,10,boost,0.05
nanoxml,4_7,10,boost.functions.count,4
nanoxml,4_7,10,boost.includes,-sampler-include-method=-net.n3.nanoxml.CDATAReader--int-read-char[],int,int-- -sampler-include-method=-net.n3.nanoxml.CDATAReader--void-close--- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-processCDATA--- -sampler-include-method=-net.n3.nanoxml.XMLUtil--char-processCharLiteral-java.lang.String--
nanoxml,4_7,10,boost.preprocess.size,45956
nanoxml,4_7,10,boost.preprocess.time,289
nanoxml,4_7,10,boost.preprocess.number,8 
nanoxml,4_7,10,boost.preprocess.time_p,196.0
nanoxml,4_7,10,boost.mine.size,5840
nanoxml,4_7,10,boost.mine.time,1573
nanoxml,4_7,10,theta,0.182771
nanoxml,4_7,10,prune.functions.count,46
