3,76,1,start
3,76,1,raw.profile.time,58
3,76,1,coarse-grained.profile.time,771
3,76,1,coarse-grained.profile.number,4048
3,76,1,coarse-grained.profile.size,208
3,76,1,fine-grained.profile.time,2863
3,76,1,fine-grained.profile.size,13264
3,76,1,fine-grained.profile.number,671794
3,76,1,fine-grained.preprocess.size,2465472
3,76,1,fine-grained.preprocess.time,4194
3,76,1,fine-grained.preprocess.number,4581
3,76,1,fine-grained.preprocess.time_p,3598.0
3,76,1,fine-grained.mine.size,61856
3,76,1,fine-grained.mine.time,2916
3,76,1,boost.includes,-sampler-include-method=-org.apache.commons.math.linear.SingularValueDecompositionImpl--org.apache.commons.math.linear.RealMatrix-getVT--- -sampler-include-method=-org.apache.commons.math.linear.SingularValueDecompositionImpl--org.apache.commons.math.linear.RealMatrix-getS--- -sampler-include-method=-org.apache.commons.math.linear.MatrixUtils--org.apache.commons.math.linear.RealMatrix-createRealDiagonalMatrix-double[]--
3,76,1,boost.profile.number,60
3,76,1,boost.profile.time,283
3,76,1,boost.profile.size,72
3,76,1,boost.preprocess.size,144928
3,76,1,boost.preprocess.time,743
3,76,1,boost.preprocess.number,17
3,76,1,boost.preprocess.time_p,180.0
3,76,1,boost.mine.size,19680
3,76,1,boost.mine.time,51
3,76,1,prune.theta,0.360507
