nanoxml,1_2,1,start
nanoxml,1_2,1,coarse-grained.profile.time,76858
nanoxml,1_2,1,coarse-grained.profile.size,952
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v1/subv2/coarse-grained/output.sites
nanoxml,1_2,1,coarse-grained.profile.number,494
nanoxml,1_2,1,fine-grained.profile.time,120674
nanoxml,1_2,1,fine-grained.profile.size,1892
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v1/subv2/fine-grained/output.sites
nanoxml,1_2,1,fine-grained.profile.number,4236
nanoxml,1_2,1,fine-grained.preprocess.size,161132
nanoxml,1_2,1,fine-grained.preprocess.time,799
nanoxml,1_2,1,fine-grained.preprocess.number,123 
nanoxml,1_2,1,fine-grained.preprocess.time_p,634.0
nanoxml,1_2,1,fine-grained.mine.size,5860
nanoxml,1_2,1,fine-grained.mine.time,8541
nanoxml,1_2,1,boost,0.05
nanoxml,1_2,1,boost.functions.count,9
nanoxml,1_2,1,boost.includes,-sampler-include-method=-net.n3.nanoxml.NonValidator--void-parseDTD-java.lang.String,net.n3.nanoxml.IXMLReader,net.n3.nanoxml.XMLEntityResolver,boolean-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-processAttList-net.n3.nanoxml.IXMLReader,net.n3.nanoxml.XMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-processElement-net.n3.nanoxml.IXMLReader,net.n3.nanoxml.XMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-processEntity-net.n3.nanoxml.IXMLReader,net.n3.nanoxml.XMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-processDocType--- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--boolean-atEOFOfCurrentStream--- -sampler-include-method=-net.n3.nanoxml.XMLEntityResolver--void-addInternalEntity-java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--java.lang.String-scanSystemID-net.n3.nanoxml.IXMLReader,char,net.n3.nanoxml.XMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--void-skipTag-net.n3.nanoxml.IXMLReader,char,net.n3.nanoxml.XMLEntityResolver--
nanoxml,1_2,1,boost.preprocess.size,57976
nanoxml,1_2,1,boost.preprocess.time,351
nanoxml,1_2,1,boost.preprocess.number,24 
nanoxml,1_2,1,boost.preprocess.time_p,263.0
nanoxml,1_2,1,boost.mine.size,5864
nanoxml,1_2,1,boost.mine.time,8433
nanoxml,1_2,1,theta,0.451996
nanoxml,1_2,1,prune.functions.count,46
