bash,1_2,5,start
bash,1_2,5,fine-grained.preprocess.size,2527648
bash,1_2,5,fine-grained.preprocess.time,122626
bash,1_2,5,fine-grained.preprocess.number,8926 
bash,1_2,5,fine-grained.preprocess.time_p,122315.0
bash,1_2,5,fine-grained.mine.size,5848
bash,1_2,5,fine-grained.mine.time,17604
bash,1_2,5,boost,0.05
bash,1_2,5,boost.functions.count,59
bash,1_2,5,boost.includes,-sampler-include-method=_print_word_list -sampler-include-method=builtin_address_internal -sampler-include-method=clean_simple_command -sampler-include-method=copy_word -sampler-include-method=copy_word_list -sampler-include-method=cprintf -sampler-include-method=dispose_word -sampler-include-method=dispose_words -sampler-include-method=do_redirections -sampler-include-method=evalerror -sampler-include-method=evalexp -sampler-include-method=execute_command -sampler-include-method=execute_command_internal -sampler-include-method=execute_pipeline -sampler-include-method=execute_simple_command -sampler-include-method=exp0 -sampler-include-method=exp1 -sampler-include-method=exp2 -sampler-include-method=exp3 -sampler-include-method=exp4 -sampler-include-method=exp5 -sampler-include-method=expand_string -sampler-include-method=expand_string_leave_quoted -sampler-include-method=expand_word_list_internal -sampler-include-method=expand_words -sampler-include-method=expassign -sampler-include-method=expband -sampler-include-method=expbor -sampler-include-method=expbxor -sampler-include-method=expcond -sampler-include-method=expland -sampler-include-method=explor -sampler-include-method=expshift -sampler-include-method=extract_command_subst -sampler-include-method=extract_delimited_string -sampler-include-method=fix_assignment_words -sampler-include-method=internal_error -sampler-include-method=list_append -sampler-include-method=list_string -sampler-include-method=make_bare_simple_command -sampler-include-method=make_bare_word -sampler-include-method=make_quoted_char -sampler-include-method=make_simple_command -sampler-include-method=make_word_list -sampler-include-method=maybe_expand_string -sampler-include-method=new_fd_bitmap -sampler-include-method=print_simple_command -sampler-include-method=pushexp -sampler-include-method=quote_escapes -sampler-include-method=readtok -sampler-include-method=remove_quoted_nulls -sampler-include-method=reverse_list -sampler-include-method=separate_out_assignments -sampler-include-method=string_extract_verbatim -sampler-include-method=subexpr -sampler-include-method=substring -sampler-include-method=the_printed_command_resize -sampler-include-method=word_list_remove_quoted_nulls -sampler-include-method=word_split
bash,1_2,5,boost.preprocess.size,1422320
bash,1_2,5,boost.preprocess.time,8857
bash,1_2,5,boost.preprocess.number,2834 
bash,1_2,5,boost.preprocess.time_p,8542.0
bash,1_2,5,boost.mine.size,5836
bash,1_2,5,boost.mine.time,2436
bash,1_2,5,theta,0.063525
bash,1_2,5,prune.functions.count,203
