nanoxml,1_1,5,start
nanoxml,1_1,5,boost,0.05
nanoxml,1_1,5,boost.preprocess.size,58072
nanoxml,1_1,5,boost.preprocess.time,366
nanoxml,1_1,5,boost.preprocess.number,15
nanoxml,1_1,5,boost.preprocess.time_p,263.0
nanoxml,1_1,5,boost.mine.size,5904
nanoxml,1_1,5,boost.mine.time,1106
nanoxml,1_1,5,theta,0.624290
nanoxml,1_1,5,prune.preprocess.size,92720
nanoxml,1_1,5,prune.preprocess.time,492
nanoxml,1_1,5,prune.preprocess.number,71
nanoxml,1_1,5,prune.preprocess.time_p,374.0
nanoxml,1_1,5,prune.mine.size,5928
nanoxml,1_1,5,prune.mine.time,1075
nanoxml,1_1,5,coarse-grained.profile.time,66038
nanoxml,1_1,5,coarse-grained.profile.size,952
nanoxml,1_1,5,coarse-grained.profile.number,494
nanoxml,1_1,5,fine-grained.profile.time,71039
nanoxml,1_1,5,fine-grained.profile.size,1892
nanoxml,1_1,5,fine-grained.profile.number,4234
nanoxml,1_1,5,boost.profile.time,59673
nanoxml,1_1,5,boost.profile.size,952
nanoxml,1_1,5,boost.profile.number,232
nanoxml,1_1,5,prune-minus-boost.profile.time,63872
nanoxml,1_1,5,prune-minus-boost.profile.size,952
nanoxml,1_1,5,prune-minus-boost.profile.number,828
nanoxml,1_1,5,end
