nanoxml,1_1,10,start
nanoxml,1_1,10,boost,0.05
nanoxml,1_1,10,boost.preprocess.size,58036
nanoxml,1_1,10,boost.preprocess.time,323
nanoxml,1_1,10,boost.preprocess.number,15
nanoxml,1_1,10,boost.preprocess.time_p,231.0
nanoxml,1_1,10,boost.mine.size,5908
nanoxml,1_1,10,boost.mine.time,1071
nanoxml,1_1,10,theta,0.552022
nanoxml,1_1,10,prune.preprocess.size,90320
nanoxml,1_1,10,prune.preprocess.time,496
nanoxml,1_1,10,prune.preprocess.number,71
nanoxml,1_1,10,prune.preprocess.time_p,383.0
nanoxml,1_1,10,prune.mine.size,5836
nanoxml,1_1,10,prune.mine.time,1031
nanoxml,1_1,10,coarse-grained.profile.time,66038
nanoxml,1_1,10,coarse-grained.profile.size,952
nanoxml,1_1,10,coarse-grained.profile.number,494
nanoxml,1_1,10,fine-grained.profile.time,71039
nanoxml,1_1,10,fine-grained.profile.size,1892
nanoxml,1_1,10,fine-grained.profile.number,4234
nanoxml,1_1,10,boost.profile.time,60121
nanoxml,1_1,10,boost.profile.size,952
nanoxml,1_1,10,boost.profile.number,232
nanoxml,1_1,10,prune-minus-boost.profile.time,65137
nanoxml,1_1,10,prune-minus-boost.profile.size,952
nanoxml,1_1,10,prune-minus-boost.profile.number,828
nanoxml,1_1,10,end
