gzip,1_4,10,start
gzip,1_4,10,fine-grained.preprocess.size,2656312
gzip,1_4,10,fine-grained.preprocess.time,73687
gzip,1_4,10,fine-grained.preprocess.number,30766 
gzip,1_4,10,fine-grained.preprocess.time_p,73419.0
gzip,1_4,10,fine-grained.mine.size,5876
gzip,1_4,10,fine-grained.mine.time,549599
gzip,1_4,10,boost,0.05
gzip,1_4,10,boost.functions.count,5 /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v1/subv4/predicate-dataset/boost/boost_functions_2_0.05.txt
gzip,1_4,10,prune-minus-boost.includes,-sampler-include-method=display_ratio -sampler-include-method=longest_match -sampler-include-method=send_all_trees -sampler-include-method=send_tree -sampler-include-method=treat_stdin
gzip,1_4,10,boost.preprocess.size,741972
gzip,1_4,10,boost.preprocess.time,3308
gzip,1_4,10,boost.preprocess.number,3466 
gzip,1_4,10,boost.preprocess.time_p,3150.0
gzip,1_4,10,boost.mine.size,5860
gzip,1_4,10,boost.mine.time,2988
gzip,1_4,10,theta,0.147232
gzip,1_4,10,prune.functions.count,35 /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v1/subv4/predicate-dataset/prune/prune_functions_2_0.05.txt
gzip,1_4,10,prune-minus-boost.includes,-sampler-include-method=_getopt_internal -sampler-include-method=add_envopt -sampler-include-method=basename -sampler-include-method=bi_init -sampler-include-method=bi_reverse -sampler-include-method=bi_windup -sampler-include-method=build_bl_tree -sampler-include-method=build_tree -sampler-include-method=clear_bufs -sampler-include-method=compress_block -sampler-include-method=ct_init -sampler-include-method=ct_tally -sampler-include-method=deflate -sampler-include-method=display_ratio -sampler-include-method=do_exit -sampler-include-method=file_read -sampler-include-method=fill_window -sampler-include-method=flush_block -sampler-include-method=flush_outbuf -sampler-include-method=gen_bitlen -sampler-include-method=gen_codes -sampler-include-method=getopt_long -sampler-include-method=init_block -sampler-include-method=lm_init -sampler-include-method=longest_match -sampler-include-method=main -sampler-include-method=pqdownheap -sampler-include-method=scan_tree -sampler-include-method=send_all_trees -sampler-include-method=send_bits -sampler-include-method=send_tree -sampler-include-method=treat_stdin -sampler-include-method=updcrc -sampler-include-method=write_buf -sampler-include-method=zip
gzip,1_4,10,prune.preprocess.size,1865948
gzip,1_4,10,prune.preprocess.time,48323
gzip,1_4,10,prune.preprocess.number,30542 
gzip,1_4,10,prune.preprocess.time_p,48101.0
gzip,1_4,10,prune.mine.size,5896
gzip,1_4,10,prune.mine.time,498808
gzip,1_4,10,boost.profile.time,314777
gzip,1_4,10,boost.profile.size,43140
gzip,1_4,10,boost.profile.number,168932
gzip,1_4,10,prune-minus-boost.profile.time,276067
gzip,1_4,10,prune-minus-boost.profile.size,313296
gzip,1_4,10,prune-minus-boost.profile.number,1336614
gzip,1_4,10,end
