sed,2_1,5,start
sed,2_1,5,fine-grained.preprocess.size,1688600
sed,2_1,5,fine-grained.preprocess.time,22776
sed,2_1,5,fine-grained.preprocess.number,2342 
sed,2_1,5,fine-grained.preprocess.time_p,22584.0
sed,2_1,5,fine-grained.mine.size,5852
sed,2_1,5,fine-grained.mine.time,1139
sed,2_1,5,boost,0.05
sed,2_1,5,boost.functions.count,7 /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/sed/versions/v2/subv1/predicate-dataset/boost/boost_functions_2_0.05.txt
sed,2_1,5,prune-minus-boost.includes,-sampler-include-method=bad_prog -sampler-include-method=ck_fopen -sampler-include-method=ck_malloc -sampler-include-method=compile_address -sampler-include-method=compile_program -sampler-include-method=inchar -sampler-include-method=savchar
sed,2_1,5,boost.preprocess.size,727776
sed,2_1,5,boost.preprocess.time,3435
sed,2_1,5,boost.preprocess.number,1553 
sed,2_1,5,boost.preprocess.time_p,3280.0
sed,2_1,5,boost.mine.size,5800
sed,2_1,5,boost.mine.time,1121
sed,2_1,5,theta,0.431171
sed,2_1,5,prune.functions.count,9 /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/sed/versions/v2/subv1/predicate-dataset/prune/prune_functions_2_0.05.txt
sed,2_1,5,prune-minus-boost.includes,-sampler-include-method=ck_fopen -sampler-include-method=ck_malloc -sampler-include-method=compile_address -sampler-include-method=compile_file -sampler-include-method=compile_program -sampler-include-method=inchar -sampler-include-method=main -sampler-include-method=re_set_syntax -sampler-include-method=savchar
sed,2_1,5,prune.preprocess.size,1120492
sed,2_1,5,prune.preprocess.time,4223
sed,2_1,5,prune.preprocess.number,2060 
sed,2_1,5,prune.preprocess.time_p,4074.0
sed,2_1,5,prune.mine.size,5896
sed,2_1,5,prune.mine.time,1241
sed,2_1,5,boost.profile.time,8884
sed,2_1,5,boost.profile.size,39736
sed,2_1,5,boost.profile.number,107964
sed,2_1,5,prune-minus-boost.profile.time,5528
sed,2_1,5,prune-minus-boost.profile.size,13084
sed,2_1,5,prune-minus-boost.profile.number,34902
sed,2_1,5,end
