2,10,10,start
2,10,10,raw.profile.time,8548
2,10,10,coarse-grained.profile.time,250191
2,10,10,coarse-grained.profile.number,7385
2,10,10,coarse-grained.profile.size,43496
2,10,10,fine-grained.profile.time,2362450
2,10,10,fine-grained.profile.size,1181120
2,10,10,fine-grained.profile.number,551198
2,10,10,fine-grained.preprocess.size,44476048
2,10,10,fine-grained.preprocess.time,100139
2,10,10,fine-grained.preprocess.number,0
2,10,10,fine-grained.preprocess.time_p,98564.0
# fail for being empty
