gzip,1_16,10,start
gzip,1_16,10,fine-grained.preprocess.size,2299800
gzip,1_16,10,fine-grained.preprocess.time,53600
gzip,1_16,10,fine-grained.preprocess.number,1044 
gzip,1_16,10,fine-grained.preprocess.time_p,53305.0
gzip,1_16,10,fine-grained.mine.size,5900
gzip,1_16,10,fine-grained.mine.time,1655
gzip,1_16,10,boost,0.05
gzip,1_16,10,boost.functions.count,2
gzip,1_16,10,boost.includes,-sampler-include-method=fill_inbuf -sampler-include-method=get_method
gzip,1_16,10,boost.preprocess.size,588108
gzip,1_16,10,boost.preprocess.time,2994
gzip,1_16,10,boost.preprocess.number,53 
gzip,1_16,10,boost.preprocess.time_p,2820.0
gzip,1_16,10,boost.mine.size,5908
gzip,1_16,10,boost.mine.time,1758
gzip,1_16,10,theta,0.171701
gzip,1_16,10,prune.functions.count,10
gzip,1_16,10,prune.includes,-sampler-include-method=_getopt_internal -sampler-include-method=add_envopt -sampler-include-method=basename -sampler-include-method=clear_bufs -sampler-include-method=do_exit -sampler-include-method=fill_inbuf -sampler-include-method=get_method -sampler-include-method=getopt_long -sampler-include-method=main -sampler-include-method=treat_stdin
gzip,1_16,10,prune.preprocess.size,1166512
gzip,1_16,10,prune.preprocess.time,8884
gzip,1_16,10,prune.preprocess.number,712 
gzip,1_16,10,prune.preprocess.time_p,8676.0
gzip,1_16,10,prune.mine.size,5796
gzip,1_16,10,prune.mine.time,3233
gzip,1_16,10,boost.profile.time,18013
gzip,1_16,10,boost.profile.size,40908
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v1/subv16/v1_subv16_b.sites
gzip,1_16,10,boost.profile.number,193886
gzip,1_16,10,prune-minus-boost.profile.time,20955
gzip,1_16,10,prune-minus-boost.profile.size,60504
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v1/subv16/v1_subv16_pmb.sites
gzip,1_16,10,prune-minus-boost.profile.number,287758
gzip,1_16,10,end
